cluster_id	sim_ave	sim_min	sim_max	size	composed_go
cluster_0330	0.81707	0.47020	1.00000	62	GO:0000155;GO:0009927
cluster_0331	1.00000	1.00000	1.00000	568	GO:0008760
cluster_0332	0.75001	0.27981	1.00000	211	GO:0043021
cluster_0333	0.90368	0.47662	1.00000	675	GO:0016773;GO:0016301;GO:0005524;GO:0140096
cluster_0334	0.81118	0.38629	1.00000	275	GO:0016879
cluster_0335	0.87744	0.35535	1.00000	267	GO:0051539;GO:0009055
cluster_0336	0.75848	0.30673	1.00000	374	GO:0016840;GO:0004359
cluster_0337	1.00000	1.00000	1.00000	11	GO:0070566;GO:0016874
cluster_0338	1.00000	1.00000	1.00000	41	GO:0004758
cluster_0339	0.72650	0.37500	1.00000	43	GO:0044877;GO:0008324;GO:0005216
cluster_0340	0.90961	0.41667	1.00000	269	GO:0016987
cluster_0341	0.95105	0.41918	1.00000	274	GO:0015288
cluster_0342	0.99953	0.84002	1.00000	710	GO:0009378;GO:0000400;GO:0016887
cluster_0343	0.74445	0.40012	1.00000	626	GO:0004519;GO:0016788;GO:0140097;GO:0003677
cluster_0344	0.85243	0.49368	1.00000	73	GO:0003968
cluster_0345	1.00000	1.00000	1.00000	752	GO:0043024
cluster_0346	0.60322	0.25400	1.00000	196	GO:0022857
cluster_0347	0.99196	0.56863	1.00000	902	GO:0004634
cluster_0348	0.73882	0.26700	1.00000	29	GO:0016773;GO:0016301
cluster_0349	0.93851	0.64812	1.00000	15	GO:0046812
cluster_0350	0.88364	0.48431	1.00000	186	GO:0003700;GO:0003677;GO:0005524;GO:0001067
cluster_0351	0.95116	0.45057	1.00000	362	GO:0004385
cluster_0352	0.76015	0.32627	1.00000	105	GO:1990404;GO:0003950
cluster_0353	0.97543	0.63161	1.00000	82	GO:0017118;GO:0016979
cluster_0354	0.85413	0.27053	1.00000	524	GO:0008234;GO:0101005
cluster_0355	0.99392	0.35405	1.00000	686	GO:0016151
cluster_0356	0.63989	0.30822	1.00000	301	GO:0098772
